file,category,severity,finding,matches,points,snippet
.agents/skills/impeccable/scripts/live-browser.js,copy,medium,Vague benefit nouns instead of domain language,38,11.66,"nd = BP.mark); pill.addEventListener('mousedown', () => pill.style.transform = 'scale(0.97)'); pill.addEventListener('mouseup', () => pill.style.transform = 'scale(1"
.agents/skills/impeccable/scripts/live-browser.js,typography,medium,Default modern font stack only,2,4.62,.root { font-family: ${FONT}; color: ${DP.ink}; pointer-events: none; } .root * { box-sizing: border-box; } button { font: inherit; color: inherit; } /* --- Panel shell: chrome matches the bar;
.agents/skills/impeccable/scripts/live-browser.js,state_depth,medium,Loading state exists,15,-8.8,", alignItems: 'center', gap: '8px', padding: '2px 8px', }); const spinner = el('div', { width: '14px', height: '14px', borderRadius: '50%', b"
.agents/skills/impeccable/scripts/live-browser.js,state_depth,medium,Error/retry state exists,11,-13.2,"Injected ' + arrivedVariants + ' variants from source file.'); }) .catch(err => { console.error('[impeccable] Failed to fetch source:', err);"
.agents/skills/impeccable/scripts/live-browser.js,state_depth,medium,Offline/degraded state exists,12,-13.2,------------------------------------------------- // Contextual-bar palette. Cached at init so every build*Row reads a // consistent set of colors; detectPageThe
.agents/skills/impeccable/scripts/live-browser.js,state_depth,medium,Disabled/busy/success states exist,9,-8.8,"ust be above them const Z = { highlight: 100001, bar: 100005, picker: 100007, toast: 100010 }; const EASE = 'cubic-bezier(0.22, 1, 0.36, 1)'; // ease-out-quint"
.agents/skills/impeccable/scripts/live-browser.js,a11y,critical,Reduced motion support exists,1,-4.4,"tUniformLocation(program, 'u_texture'); const reduced = window.matchMedia('(prefers-reduced-motion: reduce)').matches; shaderState = { canvas, gl, program, texture, rafId: 0"
.agents/skills/impeccable/scripts/live-browser.js,a11y,high,Keyboard focus treatment exists,2,-5.5,me = detectPageTheme(); const P = barPaletteForTheme(theme); // Custom focus-visible for bar buttons. Browser default is a heavy // blue ring that looks jarring
.agents/skills/impeccable/scripts/live-browser.js,a11y,medium,ARIA/semantic care exists,9,-8.8,ibute && node.getAttribute('role') === 'dialog' && node.getAttribute('aria-modal') === 'true') { showToast('Heads up: this element lives inside a d
.agents/skills/impeccable/scripts/live-resume.mjs,state_depth,medium,Loading state exists,7,-7.7,"'No active durable live session found.' }, null, 2)); return; } const pending = snapshot.pendingEvent || null; const nextAction = pending ? `Run live-p"
.agents/skills/impeccable/scripts/pin.mjs,motion,low,Animation exists,1,1.9,"nboard', 'live', 'animate', 'colorize', 'typeset', 'layout', 'delight', 'overdrive', 'clarify', 'adapt', 'optimize', ]; // Marker to identify pinned skills (so"
.agents/skills/impeccable/scripts/cleanup-deprecated.mjs,motion,low,Animation exists,2,2.36,"tique', 'delight', 'distill', 'harden', 'layout', 'optimize', 'overdrive', 'polish', 'quieter', 'shape', 'typeset', ]; // All known harness dir"
.agents/skills/impeccable/scripts/cleanup-deprecated.mjs,copy,medium,Vague benefit nouns instead of domain language,2,5.25,"duction-ready: error handling, empty states', optimize: 'Diagnoses and fixes UI performance across loading speed', }; /** * Walk up from startDir until we find a directory"
.agents/skills/impeccable/scripts/cleanup-deprecated.mjs,state_depth,medium,Loading state exists,1,-1.1,"handling, empty states', optimize: 'Diagnoses and fixes UI performance across loading speed', }; /** * Walk up from startDir until we find a directory that looks l"
.agents/skills/impeccable/scripts/live-inject.mjs,state_depth,medium,Offline/degraded state exists,1,-1.65,t block. Matches either HTML or JSX comment markers * regardless of config (so stale tags from a wrong config can still be cleaned). * * Indent-preserving: captur
.agents/skills/impeccable/scripts/modern-screenshot.umd.js,surface,medium,Noise/grid overlay without product reason,1,6.35,"st xt=[""background-image"",""border-image-source"",""-webkit-border-image"",""-webkit-mask-image"",""list-style-image""];function Mt(e,t){return xt.map(r=>{const n=e.getPropertyVa"
.agents/skills/impeccable/scripts/modern-screenshot.umd.js,component_cliches,high,Rounded pill badge eyebrow before hero,1,12.17,"(n))}function Lt(e){const t=e.replace(/([.*+?^${}()|\[\]\/\\])/g,""\\$1"");return new RegExp(`(url\\(['""]?)(${t})(['""]?\\))`,""g"")}const xt=[""background-image"",""border-image-source"",""-webkit-border-image"",""-webkit-mask-image"",""list-style-image""];function Mt(e,t){"
.agents/skills/impeccable/scripts/modern-screenshot.umd.js,copy,high,Landing-page section boilerplate,4,15.0,"orkerUrl:n,workerNumber:i=1}=t||{},a=!!(t!=null&&t.debug),s=(f=t==null?void 0:t.features)!=null?f:!0,o=(h=e.ownerDocument)!=null?h:U?window.document:void 0,c=(p=(g=e.ow"
.agents/skills/impeccable/scripts/modern-screenshot.umd.js,copy,medium,Vague benefit nouns instead of domain language,8,7.99,"uct:!0}))})}function ye(e,t){return C(this,null,function*(){var f,h,g,p,E;const{scale:r=1,workerUrl:n,workerNumber:i=1}=t||{},a=!!(t!=null&&t.debug),s=(f=t==null?voi"
.agents/skills/impeccable/scripts/modern-screenshot.umd.js,state_depth,medium,Loading state exists,3,-3.3,""");function _(e,t){const r=J(t).createElement(""img"");return r.decoding=""sync"",r.loading=""eager"",r.src=e,r}function L(e,t){return new Promise(r=>{const{timeout:n,ownerD"
.agents/skills/impeccable/scripts/modern-screenshot.umd.js,state_depth,medium,Error/retry state exists,35,-13.2,"]=y[R]);return N};var C=(y,v,N)=>new Promise((R,O)=>{var X=P=>{try{q(N.next(P))}catch(W){O(W)}},j=P=>{try{q(N.throw(P))}catch(W){O(W)}},q=P=>P.done?R(P.value):Promise"
.agents/skills/impeccable/scripts/modern-screenshot.umd.js,domain_fit,high,Template nouns dominate over domain nouns,2,5.31,"orkerUrl:n,workerNumber:i=1}=t||{},a=!!(t!=null&&t.debug),s=(f=t==null?void 0:t.features)!=null?f:!0,o=(h=e.ownerDocument)!=null?h:U?window.document:void 0,c=(p=(g=e.ow"
.agents/skills/impeccable/scripts/live-session-store.mjs,motion,low,Animation exists,7,3.46,"'new', pageUrl: null, sourceFile: null, expectedVariants: 0, arrivedVariants: 0, visibleVariant: null, paramValues: {}, pendingEventSeq"
.agents/skills/impeccable/scripts/live-session-store.mjs,state_depth,medium,Loading state exists,3,-3.3,}); break; } return next; } function toPendingEvent(event) { const pending = { ...event }; delete pending.token; return pending; } function upsertArt
.agents/skills/impeccable/scripts/live-session-store.mjs,state_depth,medium,Offline/degraded state exists,3,-4.95,onst snapshotCache = new Map(); function loadCachedOrRebuild(id) { const cached = snapshotCache.get(id); if (cached) return cached; const journalPath =
.agents/skills/impeccable/scripts/live-server.mjs,palette,medium,Primary/secondary/accent-only color language,4,8.61,"ect Stop the server only (leave the script tag in the HTML entry) Options: --background Start detached, print connection JSON to stdout, then exit --port=PORT Use"
.agents/skills/impeccable/scripts/live-server.mjs,motion,low,Animation exists,1,1.9,"olish', 'typeset', 'colorize', 'layout', 'adapt', 'animate', 'delight', 'overdrive', ]; // Browser generates ids via crypto.randomUUID().slice(0, 8) (8 hex chars"
.agents/skills/impeccable/scripts/live-server.mjs,state_depth,medium,Empty state exists,1,-1.65,"(visual tokens) is a separate // concern, surfaced by the design panel's own empty state. Legacy // .impeccable.md is auto-migrated to PRODUCT.md by load-context.mjs."
.agents/skills/impeccable/scripts/live-server.mjs,state_depth,medium,Error/retry state exists,1,-1.65,"jsonPath, 'utf-8')); } catch (err) { response.sidecarError = 'Failed to parse .impeccable/design.json: ' + err.message; } } res.wr"
.agents/skills/impeccable/scripts/live-server.mjs,state_depth,medium,Offline/degraded state exists,2,-3.3,package location (cli/engine/detect-antipatterns-browser.js). // This one IS cached — detect.js rarely changes during a session. const detectPaths = [ path.j
.agents/skills/impeccable/scripts/live-server.mjs,design_system,medium,Only generic shadcn tokens detected,4,5.74,"ect Stop the server only (leave the script tag in the HTML entry) Options: --background Start detached, print connection JSON to stdout, then exit --port=PORT Use"
.github/workflows/codeql.yml,surface,medium,Noise/grid overlay without product reason,1,6.35,"dependency-caching: true # Inline config — paths to ignore, noise filters config: | paths-ignore: - node_modu"
.github/workflows/codeql.yml,copy,medium,Vague benefit nouns instead of domain language,6,7.36,═════════════════════════════════════════════════╗ # ║ CodeQL Advanced Security Workflow v2 ║ # ║ Copilot Autofix • Extended Queries • Security Gate ║ # ║ Verified agai
.github/workflows/codeql.yml,iconography,medium,Emoji used as product iconography,2,7.87,high/critical alert(s) found.`); } else { core.info('✅ Security gate passed — no high/critical alerts detected.'); } #
.github/workflows/codeql.yml,state_depth,medium,Offline/degraded state exists,1,-1.65,ed - security-and-quality - security-experimental # Cancel stale runs on new push to the same branch concurrency: group: codeql-${{ github.wor
.github/workflows/codeql.yml,state_depth,medium,Disabled/busy/success states exist,2,-2.2,/ API may return 404 if code scanning isn't fully set up yet core.warning(`Could not fetch alerts: ${e.message}`); return; }
.github/workflows/codeql.yml,domain_fit,high,Template nouns dominate over domain nouns,3,6.04,══════════════════════════════════════╗ # ║ CodeQL Advanced Security Workflow v2 ║ # ║ Copilot Autofix • Extended Queries • Security Gate
<repo-wide>,composition,critical,Niche AI-template combo detected: hero_gradient_badge_cta,2,15.0,"gradient text, badge eyebrow, generic cta"
<repo-wide>,composition,critical,Niche AI-template combo detected: blob_glass_card_stack,2,15.0,"decorative blurred orb, glassmorphism, rounded shadow card"
<repo-wide>,composition,critical,Niche AI-template combo detected: three_feature_lucide_grid,2,15.0,"3-card feature grid, lucide, icon circle"
<repo-wide>,composition,critical,Niche AI-template combo detected: shadcn_default_dark_saas,3,22.5,"shadcn, default dark saas, generic cta"
